idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;gid;code_insee;lon;lat
8050;Bataille / Krüger;Face au 140, Rue Bataille;;Lyon 8e Arrondissement;;18;;bataille_kruger;True;;1;69388;4.879737377129184;45.73626799350977
1012;Ampère / Bourse;29, Rue de la Bourse;Long du Collège-Lycée Ampère;Lyon 1er Arrondissement;12;26;;Lycée Ampère et rue de la Bourse, Métro A;True;;2;69381;4.8368957414205624;45.7658113822214
5041;L'Homme de la Roche;Face 56, Quai Pierre Scize;;Lyon 5e Arrondissement;41;21;;Itinéraire cyclable, commerces, coeur de quartier;True;;5;69385;4.820230242298261;45.76658034430817
26001;Saint Didier - Pasteur / Saint-Cyr;113, Rue de St Cyr;;Saint-Didier-au-Mont-d'Or;;17;; ;True;;8;69194;4.808534635343921;45.79157367507502
6028;Récamier / Tête d'Or;10, Rue Juliette Récamier;angle rue Tête d'Or;Lyon 6e Arrondissement;28;16;;maillage;True;;9;69386;4.853492129706198;45.76433369757857
21001;La Mulatière - Aquarium;Rue Stéphane Déchant;;La Mulatière;;24;;P1_dechant;True;;10;69142;4.814635476619837;45.7273693332942
10021;GrandClément;Place GrandClément;171, Cours Tolstoï ;Villeurbanne;21;19;;centre quartier, futur arrêt C3, itinéraire cyclable;True;;14;69266;4.889946936317878;45.75971832074692
10031;Croix Luizet;Face 158, Avenue Roger Salengro;;Villeurbanne;31;22;;Centre quartier;True;;15;69266;4.883497016736273;45.78064416330815
1001;Terreaux / Terme;33, Rue Terme;Angle Rue d'Algérie;Lyon 1er Arrondissement;1;16;;;True;;17;69381;4.832135062190833;45.767734686387236
3051;Place Henri;Place Henri;Face 5, Cours Docteur Long;Lyon 3e Arrondissement;51;13;;maillage;True;;18;69383;4.880593958171215;45.748186906192544
8011;Place Lebret;Place Lebret;côté route de Vienne;Lyon 8e Arrondissement;11;14;;coeur quartier;True;;19;69388;4.853042654470077;45.73565038813955
10110;Mémoire et Société;Rue Hauy;;Villeurbanne;110;24;;Mémoire et société, itinéraire cyclable;True;;20;69266;4.882734546527102;45.759574361518936
4006;Philippe de Lassalle;Rue Philippe de Lassalle ;Angle Rue Anselme;Lyon 4e Arrondissement;6;23;;IUFM;True;Monté;22;69384;4.821307645972979;45.77348010721526
2019;Sucrière;Place Chevalier de Saint-Georges;;Lyon 2e Arrondissement;;20;;Lyon 2ème arrondissement;True;;23;69382;4.815335028749903;45.73618158210351
9051;Andréi Sakharov;301 avenue A.Sakharov;;Lyon 9e Arrondissement;51;12;;Stade, lycée;True;;24;69389;4.797070902331012;45.78652473936644
7026;Baldassini / Gerland;25, Rue Jean Baldassini;;Lyon 7e Arrondissement;68;20;;baldassini_gerland;True;;25;69387;4.837382090273671;45.7276967807942
20001;Oullins - Gare;Avenue du Rhône;Esplanade de la gare routière;Oullins;;40;;Oullins;True;;29;69149;4.8141359805783805;45.71702994350891
2009;Confluence / Docks;41, Quai Rambaud;Rue Hrant Dink;Lyon 2e Arrondissement;9;26;;Confluence - Les Docks;True;Monté;31;69382;4.815025930643814;45.739627587350526
9011;Conservatoire;Face 40, Quai Chauveau;avant angle Pont Général Koenig;Lyon 9e Arrondissement;11;19;;Conservatoire National de musique;True;;32;69389;4.812676219585405;45.76978221217475
3081;Part-Dieu / Francfort;Rue Maurice Flandin;Place de Francfort;Lyon 3e Arrondissement;81;28;;Gare routière de Lyon Part-Dieu;True;Monté;35;69383;4.863086249828633;45.76060855566148
2012;Gailleton;4, Place Gailleton;;Lyon 2e Arrondissement;12;16;; ;True;;16;69382;4.833364551802372;45.753449502638404
7036;Gryphe / Montesquieu;37, Rue Sébastien Gryphe;Angle Rue Montesquieu;Lyon 7e Arrondissement;65;25;;Lyon 7ème arrondissement;True;;13;69387;4.843786404691111;45.751911439328126
5009;Place Ennemond Fousseret;Quai Romain Rolland angle Quai de Bondy;Place Fousseret;Lyon 5e Arrondissement;9;16;;Vieux Lyon;True;;21;69385;4.8289833265225175;45.7646815056886
5029;Place Gerson;Place Gerson;A proximité du Quai Pierre Size;Lyon 5e Arrondissement;29;20;;Vieux Lyon;True;;26;69385;4.8270475070640995;45.767054455158416
5005;Saint-Paul;9, Place Saint-Paul; ;Lyon 5e Arrondissement;5;23;;Gare, coeur quartier, Vieux Lyon;True;;36;69385;4.827432122691038;45.766271737315904
4042;Grégory Coupet;79, Rue Philippe De Lassalle;;Lyon 4e Arrondissement;42;16;;Stade;True;;40;69384;4.820600046127589;45.781700106785266
2001;Bellecour / République;4, Place Le Viste;angle Rue de La République;Lyon 2e Arrondissement;1;18;;métro A D, site, commerces;True;;42;69382;4.834593821983846;45.757985099026186
9009;Berlioz / Chalinel;Face 31, Rue Albert Chalinel;Rue Hector Berlioz;Lyon 9e Arrondissement;;15;;berlioz;True;;4;69389;4.825419711524732;45.80116035624908
9032;Place du Port Mouton;Place du Port Mouton;Quai Arloing;Lyon 9e Arrondissement;32;18;; ;True;;6;69389;4.809560302964169;45.77382011796125
6011;Mairie du 6ème;58, Rue de Sèze;angle Rue Boileau;Lyon 6e Arrondissement;11;23;;Mairie du 6e;True;;39;69386;4.849496723784585;45.76840416839016
7023;Berthelot / Route de Vienne;Face 41, Route de Vienne;angle avenue Berthelot;Lyon 7e Arrondissement;23;15;;tram;True;;12;69387;4.850563755662176;45.74257950493406
7009;Jean Jaurès;175, Avenue Jean Jaurès;3, Rue Marie-Madeleine Fourcade;Lyon 7e Arrondissement;9;16;;métro B;True;Monté;34;69387;4.837508919917021;45.73751809736837
7046;Place de l'Ecole ;19, Rue de Saint-Cloud;Place de l'Ecole;Lyon 7e Arrondissement;46;28;;ENS Science ;True;;28;69387;4.827818249566896;45.73014381139959
24001;Ecully - Mairie;Place de la Libération;Face à la Rue Auguste Tramier;Écully;;12;;deplacee place liberation;True;;43;69081;4.778672916083735;45.775089070262204
3009;Musée Africain;Face 150, Cours Gambetta;;Lyon 3e Arrondissement;9;22;;Université Jean Moulin, musée africain, commerces;True;;44;69383;4.857925030063061;45.750253311923444
7007;Farge / Ayasse;117, Boulevard Yves Farge;Face Rue Commandant Ayasse;Lyon 7e Arrondissement;52;20;;Centre commercial, logements, itinéraire cyclable;True;;45;69387;4.827719155961223;45.73567388979864
10035;Boiron Granger;45, Rrue Pierre Baratin;Rue Réguillon;Villeurbanne;35;16;;stade, complexe sportif Boiron Granger;True;;46;69266;4.900479530365134;45.763158795707945
8023;Mermoz / Pinel;Avenue Jean Mermoz;Boulevard Pinel;Lyon 8e Arrondissement;;23;;Lyon 8ème arrondissement;True;;47;69388;4.887370912680191;45.73077185091554
4011;Place Joannès Ambre;Place Joannès Ambre;Angle grande rue de la Croix Rousse;Lyon 4e Arrondissement;11;20;;Théâtre, coeur quartier, hôpital;True;;48;69384;4.8328577220510205;45.78157551853793
16004;Vénissieux - Parilly;Place Jules Grandclément;;Vénissieux;;25;;Vénissieux;True;;51;69259;4.888535366263417;45.71971196477412
2015;République / Stella;1, Rue Stella;;Lyon 2e Arrondissement;15;27;;commerces, parking;True;;52;69382;4.836288972942045;45.7607097863305
28002;Fontaines S/S - Gambetta;Place des Rendez vous;;Fontaines-sur-Saône;;20;;;True;;53;69088;4.845700000188561;45.83540599978868
